2025-12-01 20:28:18.799 | INFO     | api_quotex.login:get_ssid:284 - Checking existing saved session...
2025-12-01 20:28:18.804 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2025-12-01 20:28:18.805 | WARNING  | api_quotex.websocket_client:connect:196 - Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: BaseEventLoop.create_connection() got an unexpected keyword argument 'extra_headers'
2025-12-01 20:28:18.805 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: BaseEventLoop.create_connection() got an unexpected keyword argument 'extra_headers'
2025-12-01 20:28:18.805 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2025-12-01 20:28:18.805 | WARNING  | api_quotex.login:validate_ssid:127 - SSID validation failed for wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: Failed to connect to any WebSocket endpoint
2025-12-01 20:28:18.805 | ERROR    | api_quotex.monitoring:record_error:175 - [MEDIUM] authentication: SSID validation failed for wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: Failed to connect to any WebSocket endpoint
2025-12-01 20:28:18.805 | ERROR    | api_quotex.login:validate_ssid:135 - SSID validation failed for all regions
2025-12-01 20:28:18.805 | WARNING  | api_quotex.login:get_ssid:297 - Existing session is invalid or expired; removing session.json
2025-12-01 20:28:20.373 | INFO     | api_quotex.login:get_ssid:324 - Submitting login form via Cloudscraper with CSRF
2025-12-01 20:28:21.530 | WARNING  | api_quotex.login:get_ssid:371 - Cloudscraper: neither session cookie nor token found; switching to Playwright
2025-12-01 20:28:22.734 | INFO     | api_quotex.login:_playwright_login_and_capture:154 - Playwright: opening login page...
2025-12-01 20:28:57.491 | INFO     | api_quotex.login:_playwright_login_and_capture:210 - Demo SSID captured via Playwright (token)
2025-12-01 20:28:57.493 | INFO     | api_quotex.config:save_session:181 - Session data saved to session.json
2025-12-01 20:28:57.493 | INFO     | api_quotex.login:_playwright_login_and_capture:214 - Playwright: session data saved successfully
2025-12-01 20:28:58.166 | INFO     | api_quotex.websocket_client:connect:154 - Attempting to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket
2025-12-01 20:28:58.168 | WARNING  | api_quotex.websocket_client:connect:196 - Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: BaseEventLoop.create_connection() got an unexpected keyword argument 'extra_headers'
2025-12-01 20:28:58.169 | ERROR    | api_quotex.monitoring:record_error:175 - [HIGH] connection: Failed to connect to wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: BaseEventLoop.create_connection() got an unexpected keyword argument 'extra_headers'
2025-12-01 20:28:58.169 | ERROR    | api_quotex.exceptions:__init__:14 - QuotexError: Failed to connect to any WebSocket endpoint (Code: None)
2025-12-01 20:28:58.169 | WARNING  | api_quotex.login:validate_ssid:127 - SSID validation failed for wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: Failed to connect to any WebSocket endpoint
2025-12-01 20:28:58.169 | ERROR    | api_quotex.monitoring:record_error:175 - [MEDIUM] authentication: SSID validation failed for wss://ws2.qxbroker.com/socket.io/?EIO=3&transport=websocket: Failed to connect to any WebSocket endpoint
2025-12-01 20:28:58.169 | ERROR    | api_quotex.login:validate_ssid:135 - SSID validation failed for all regions
2025-12-01 20:28:58.170 | INFO     | api_quotex.client:__init__:151 - Initialized Quotex client (demo=True, persistent=False) with enhanced monitoring
2025-12-01 20:28:58.170 | INFO     | api_quotex.client:connect:181 - Connecting to Quotex...
2025-12-01 20:28:58.170 | INFO     | api_quotex.client:_start_regular_connection:206 - Starting regular connection...
2025-12-01 20:28:58.170 | INFO     | api_quotex.client:_start_regular_connection:212 - Demo mode: Using demo regions: ['DEMO', 'LIVE']
